YEAR,SONG TITLE,TRACK NUMBER,File Name
1967,I Got Rythm - I Got Plenty O' Nuttin' - I Got the Sun in The Monring - A Wonderful Day Like Today - Another Opening Another Show 1967,1,I Got Rythm - I Got Plenty O' Nuttin' - I Got the Sun in The Monring - A Wonderful Day Like Today - Another Opening Another Show 1967.mp3
1967,These Foolish Things (Remind Me Of You) -1967,2,These Foolish Things (Remind Me Of You) -1967.mp3
1967,Zip-a-dee-doo-dah -1967,3,Zip-a-dee-doo-dah -1967.mp3
1967,"I Am Bound for the Promised Land - Shenandoah - Gonna Raise a Ruckus Tonight - Fare You Well, My Darling - Come Share My Life-1967",4,"I Am Bound for the Promised Land - Shenandoah - Gonna Raise a Ruckus Tonight - Fare You Well, My Darling - Come Share My Life-1967.mp3"
1967,Stardust -1967,5,Stardust -1967.mp3
1968,"I Got Rythm - I Got Plenty O' Nuttin' - I Got the Sun in The Monring - Facsinating Rythm - Walking Happy - A Wonderful Day Like Today - Another Opening, Another Show",1,"I Got Rythm - I Got Plenty O' Nuttin' - I Got the Sun in The Monring - Facsinating Rythm - Walking Happy - A Wonderful Day Like Today - Another Opening, Another Show.mp3"
1968,Step to the Rear -1968,2,Step to the Rear -1968.mp3
1968,The Way You Look Tonight-1968,3,The Way You Look Tonight-1968.mp3
1968,A Taste of Honey-1968,4,A Taste of Honey-1968.mp3
1968,"Up, Up, and Away-1968",5,"Up, Up, and Away-1968.mp3"
1968,This Could Be The Start of Something Big-1968,6,This Could Be The Start of Something Big-1968.mp3
1968,Shpoopi - For Little Girls - Candy - Michelle - Music to Watch Girls By - The Girl Friend - Mame - Hello Dolly-1968,7,Shpoopi - For Little Girls - Candy - Michelle - Music to Watch Girls By - The Girl Friend - Mame - Hello Dolly-1968.mp3
1968,Greenfields-1968,8,Greenfields-1968.mp3
1968,Robert and Elizabeth Soliloquy-1968,9,Robert and Elizabeth Soliloquy-1968.mp3
1968,In the Cool Cool of the Evening -1968,10,In the Cool Cool of the Evening -1968.mp3
1968,Up A Lazy River - 1968,11,Up A Lazy River - 1968.mp3
1969,"Broadway Medley I Got Rythm, I Got Plenty O' Nuttin', I Got the Sun in The Monring, A Wonderful Day Like Today, Another Opening, Another Show-1976",1,"Broadway Medley I Got Rythm, I Got Plenty O' Nuttin', I Got the Sun in The Monring, A Wonderful Day Like Today, Another Opening, Another Show-1969"
1969,"Five Foot Two, Eyes of Blue | Exactly Like You | For Me and My Gal",2,"Five Foot Two, Eyes of Blue , Exactly Like You , For Me and My Gal-1969"
1969,A Man and a Woman,3,A Man and a Woman-1969
1969,Goin' Out of My Head,4,Goin' Out of My Head-1969
1969,Cherish,5,Cherish-1969
1969,Are You Going to Scarborough Fair?,6,Are You Going to Scarborough Fair-1969
1969,What Now My Love,7,What Now My Love-1969
1969,Mr. Lucky,8,Mr. Lucky-1969
1969,I Love You and Don't You Forget It,9,I Love You and Don't You Forget It-19769
1969,Baby Elephant Walk,10,Baby Elephant Walk-1969
1969,Days of Wine and Roses,11,Days of Wine and Roses-1969
1969,Moon River,12,Moon River-1969
1969,Fine And Dandy,13,Fine And Dandy-1969
1969,Love Is Blue,14,Love Is Blue-1969
1969,"That Sunday, That Summer",15,"That Sunday, That Summer-1969"
1969,Battle Hymn of the Republic,16,Battle Hymn of the Republic-1969
1970,"Opening Medley: All I Need is the Girl, Everything's Coming Up Roses, It's Today",1,"All I Need is the Girl, Everything's Coming Up Roses, It's Today-1970"
1970,This Guy’s in Love With You,2,This Guy’s in Love With You-1970
1970,Nothing Can Stop Me Now!,3,Nothing Can Stop Me Now!-1970
1970,The Lamp Is Low,4,The Lamp Is Low-1970
1970,Galveston,5,Galveston-1970
1970,Do You Know the Way to San Jose,6,Do You Know the Way to San Jose-1970
1970,Rhythm of Life,7,Rhythm of Life-1970
1970,Raindrops Keep Falling on My Head,8,Raindrops Keep Falling on My Head-1970
1970,A Time For Us,9,A Time For Us-1970
1970,"Doin the Raccoon, Shine on Harvest Moon",10,"Doin the Raccoon, Shine on Harvest Moon-1970"
1970,"Hoagy Carmichael Medley: Georgia, Two Sleepy People, Ole Buttermilk Sky, The Nearness of You, ",11,"Hoagy Carmichael Medley Georgia, Two Sleepy People, Ole Buttermilk Sky, The Nearness of You, -1970"
1970,Age of Aquarius/Let the Sunshine In,12,"Age of Aquarius, Let the Sunshine In-1970"
1971,Applause ,1,Applause-1971
1971,"Love Story, Where Do I Begin ",2,"Love Story, Where Do I Begin -1971"
1971,"Bewitched, Bothered, and Bewildered",3,"Bewitched, Bothered, and Bewildered-1971"
1971,Cresent Moon,4,Cresent Moon-1971
1971,Wedding Bell Blues,5,Wedding Bell Blues-1971
1971,Walk Him Up the Stairs,6,Walk Him Up the Stairs-1971
1971,"Calendar Medley The Day Before Spring, It Might As Well Be Spring, Sining in The Rain, June is Busting Out All Over, In the Good Ole Summertime, Summertime, September Song, September in the Rain, Indian Summer, Snowfall, Let it Snow",7,Calendar Medley-1971
1971,Impossible Dream,8,Impossible Dream-1971
1972,The Tavern of Loving People,1,The Tavern of Loving People-1972.mp3
