"APPENDIX A
THE SINGING HOOSIERS SHOW DATABASE                                            *NI=Not Included",,,,,,,,,,,,,,,,
Show ID,Contract Number,Contracted Through,Group Name,Conductor,Group Size,City,State,Date,Sponsor,Program Duration,Event,Sponsor's Cost,"Miscellaneous
Info",Invoiced,Hour of Performance,Place of Performance
1429,1.,Music SerYices,Men s Concert Choir,G.,48,",ndian apolis",",1",":ednesday, December 15,
1948","City of
,ndianapolis, Department of Public Parks",1.,Christmas Program,$50 00,for transporta tion and expenses,758(,  00 pm,"Soldiers and Sailors Monume
nt"
14 0,1.,Music SerYices,Men s Concert Choir,G.,42,",ndian apolis",",1","Sunday, -anuary 2 , 1949",Music Committee,1.,Church (Yening,$ 5 00,Dinner,758(,   0 pm,"BroadZa y Methodi st
Church"
14 2,1.,Music SerYices,Men s Concert Choir,G.,40,/eban on,",1",":ednesday,
)ebruary 02,
1949",/ebanon High School,1.,School Assembly,$50 00,1.,758(,2 00 pm,"High School
Gymnasi um"
14,1.,Music SerYices,Men s Concert Choir,G.,42,South Bend,",1",":ednesday,
)ebruary 02,
1949",Church Choir,1.,1.,1.,"50 50
split, dinner, lodging and breakfast plus 50% of ticket sales up to
$200",758(,8 00 pm,)irst Christia n Church
14 1,1.,Music SerYices,"Men s Concert
Choir",G.,40,"CraZf ordsYil
le",",1",":ednesday,
)ebruary 02,
1949",Chapel Committee,"20
Minut es",ConYocation Program,$50 00,1.,758(,9 45 am,":abash College
Chapel"
14,1.,"Music
SerYices","Men s
Concert Choir",G.,42,"/oZel
l",",1","7hursday,
)ebruary 0 , 1949","/oZell District
High School Band Boosters",1.,"(Yening
Concert","$50 
00",Dinner,758(,8 00 pm,"/oZel
District High School
Auditori um"
"Show
,D","Contra
ct 1umb er","Contract
ed 7hrough","Group
1ame","Condu
ctor","Group
Si]e",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",(Yent,"Spo
nsor
¶s Cos
t","Miscellan
eous ,nfo",",nYoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1435,1.,"Music
SerYices","Men s
Concert Choir",G.,40,"/ogan
sport",",1","7hursday,
)ebruary 03,
1949","/ogansport High
School",1.,"Assembly
Program","$50 
00",1.,758(,12 35 pm,"High
School Auditori um of
Berry Bowl"
1434,1.,Music SerYices,Men s Concert Choir,G.,40 43,:ina mac,",1","7hursday,
)ebruary 03,
1949",:inamac High School,1.,Assembly Program,$50 00,1.,758(,10 00 am,":inama  c High School Gymnasi
um"
1438,1.,Music SerYices,Men s Concert Choir,G.,40,5enss elear,",1",")riday, )ebruary 04, 1949",High School,1.,School Assembly,$50 00,1.,758(,2 30 pm,"High School Auditori
um"
143,1.,Music SerYices,Men s Concert Choir,G.,40,.entla nd,",1",")riday, )ebruary 04, 1949",.entland High School,1.,ConYocation Program,$50 00,1.,758(,10 00 am,".entlan  d High School Gymnasi
um"
1439,1.,"Music
SerYices","Men s
Concert Choir",G.,40,"Monti
cello",",1","Saturday,
)ebruary 05,
1949",":hite County
7eachers Association",1.,"7eachers 
ConYention","$50 
00",1.,758(,10 00 am,"High
School Auditori um"
1440,1.,"Music
SerYices","Men s
Concert Choir",G.,42,Howe,",1","Saturday,
)ebruary 05,
1949","Howe Military
School",1.,"(Yening
Concert",1.,"Dinner,
lodging and breakfast",758(,  30 pm,"Howe
Military School Gymnasi
um"
1441,1.,Music SerYices,Men s Concert Choir,G.,42,Peru,",1","Sunday, )ebruary 0 , 1949",1.,1.,Church (morning)  Program (afternoon),1.,"Dinner plus free will offering at 3 00
concert",758(,"10 30 am
  3 00 pm",Methodi st Church
"Show
,D","Contra
ct 1umb er","Contract
ed 7hrough","Group
1ame","Condu
ctor","Group
Si]e",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",EYent,"Spo
nsor
¶s Cos
t","Miscellan
eous ,nfo",",nYoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1442,1.,"Music
SerYices","Men s
Concert Choir",G.,40,".oko
mo",",1","Sunday, )ebruary
0 , 1949","Altar Choir 
Grace Methodist Church",1.,"5egular
Concert",1.,"Dinner,
lodging and breakfast, collection up to and including
$100",758E,  30 pm,"Grace
Methodi st Church"
1443,1.,Music SerYices,Men s Concert Choir,G.,40 42,")ort
:ayn  e",",1","Monday,
)ebruary 0 , 1949",Elex Club of General Electric Co.,1.,"Meeting for employees of General
Electric Co.",$45 0.00,1.,758E,  00 pm,GE Club
1444,1.,Music SerYices,Men s Concert Choir,G.,40 42,")ort
:ayn  e",",1","Monday,
)ebruary 0 , 1949",Elex Club of General Electric Co.,1.,Meeting for employees of General Electric Co.,$0.0 0,"cost included in other concert on the same
day",758E,12 30 pm,<MCA
144,1.,Music SerYices,Men s Concert Choir,G.,40,Colum bia City,",1","7uesday,
)ebruary 08,
1949",Columbia City High School,1.,Assembly Program,$50. 00,1.,758E,1 00 pm,"Columbi a City High
School"
144,1.,Music SerYices,Men s Concert Choir,G.,42,Aubur n,",1","7uesday,
)ebruary 08,
1949",/ions Club,1.,Concert,1.,"50 50 split plus dinner, lodging and
breakfast",758E,8 00 pm,High School Gymnasi um
1445,1.,Music SerYices,Men s Concert Choir,G.,40,")ort
:ayn  e",",1","7uesday,
)ebruary 08,
1949",South Side High School,1.,School Assembly,$50. 00,1.,758E,8 25 am,"South Side High School Gymnasi
um"
1450,1.,Music SerYices,Men s Concert Choir,G.,40,Huntin gton,",1",":ednesday,
)ebruary 09,
1949",Huntington Chamber of Commerce,1.,BanTuet Program,$20 0.00,Dinner,758E,  30 pm,"Huntingt on High School Gymnasi
um"
"Show
ID","Contra
ct 1umb er","Contract
ed 7hrough","Group
1ame","Condu
ctor","Group
Si]e",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1449,1I,"Music
Services","Men s
Concert Choir",G.,40,"Huntin
gton",I1,":ednesday,
)ebruary 09,
1949","Huntington High
School",1I,"Assembly
Program","$50.
00",1I,7RUE,8 30 am,"High
School Auditori
um"
1451,1I,"Music
Services","Men s
Concert Choir",G.,40,"Indian
apolis",I1,"7uesday,
)ebruary 22,
1949","Indiana )arm
Bureau, Inc.",1I,"S.   E.
Conference","$90.
00",1I,7RUE,  00 pm,"Murat
7emple"
1452,1I,Music Services,Men s Concert Choir,G.,1I,Martin sville,I1,"Monday, March 0 , 1949",.iwanis Club,1I,Public Concert,$ 5. 00,1I,7RUE,8 00 pm,"High School Auditori
um"
1453,1I,Music Services,Men s Concert Choir,G.,48,Bloom ington,I1,"Saturday, March 12, 1949","Bloomington 7oastmaster s Club, Inc.",1I,Dinner and speeches contest,$35. 00,1I,7RUE,8 00 pm,"Masonic 7emple Dining
Room"
1454,1I,Music Services,Men s Concert Choir,G.,45,Bloom ington,I1,"7hursday, March 1 , 1949",Music Committee of the University School,"50
Minut es",Convocation,1I,"University School Chorus will sing 2
or 3 short numbers at beginning of
program",7RUE,10 30 am,Universi ty High School Auditori um
1455,1I,Music Services,Men s Concert Choir,G.,40,Paris,I/,"Sunday, March 20, 1949",Men s Club,1I,Public Concert,$10 0.00,"Dinner, lodging and breakfast",7RUE,  30 pm,"7he Presbyte rian
Church of Paris"
145,1I,Music Services,Men s Concert Choir,G.,42,Peters burg,I1,"Monday, March 28, 1949",Psi Iota ;i Sorority,1I,Evening Concert,$10 0.00,Dinner,7RUE,8 00 pm,"High School Auditori
um"
145,1I,Music Services,Men s Concert Choir,G.,40,Prince ton,I1,"Monday, April 25, 1949","Elks Cancer
)und Committee",Morni ng   1 Hour,Concert,$15 0.00,1I,7RUE,2 30     8 00 pm,"Princeto n High School
Gymnasi um"
"Show
ID","Contra
ct 1umb er","Contract
ed 7hrough","Group
1ame","Condu
ctor","Group
Si]e",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1458,1I,"Music
Services","Men s
Concert Choir",GK,42,/inton,I1,":ednesday, May
18, 1949","IU Alumni Club,
/inton",1I,"Business
Meeting followed by Public
Concert","$50.
00",1I,7RUE,8 15 pm,"High
School Auditori um"
1405,1I,Music Services,Concert Choir,GK,1I,Indian apolis,I1,":ednesday, 2ctober 19, 1949",Broad Ripple High School,1I,Assembly Program,1I,1I,7RUE,8 55    9 40 am,"Broad Ripple High School Auditori
um"
140,1I,Music Services,Concert Choir,GK,1I,Hunts ville,I1,":ednesday, 2ctober 19, 1949",Huntsville High School,1I,Assembly Program,1I,1I,7RUE,2 30 pm,"Huntsvil le High School Gymnasi
um"
1403,1I,"Music
Services","Men s
Concert Choir",GK,1I,"Ander
son",I1,":ednesday,
2ctober 19, 1949","Anderson
Kiwanis",1I,"Dinner
Meeting  Kiwanis 30th Anniversary",1I,1I,7RUE,8 15 pm,"Anderso
n Country Club"
140,1I,"Music
Services","Men s
Concert Choir",GK,1I,"Mario
n",I1,"7hursday,
2ctober 20, 1949","Marion High
School",1I,"Assembly
Program",1I,1I,7RUE,10 00 am,"Marion
Senior High School"
1408,1I,"Music
Services","Men s
Concert Choir",GK,1I,"Ander
son",I1,"7hursday,
2ctober 20, 1949","State Real Estate
Association Convention",1I,"Dinner
Meeting",1I,1I,7RUE,8 15 pm,"Anderso
n Country Club"
1409,1I,Music Services,Men s Concert Choir,GK,1I,Indian apolis,I1,"7hursday, December 15,
1949",Union 7itle Company,1I,Christmas Party,1I,1I,7RUE,1 00 pm,Athletic Club
1412,1I,Music Services,Men s Concert Choir,GK,1I,Clinto n,I1,"7hursday,
)ebruary 02,
1950",Clinton Exchange Club,1I,Evening Concert,1I,1I,7RUE,8 00 pm,"Clinton High School Auditori
um"
"Show
ID","Contra
ct 1umb er","Contract
ed 7hrough","Group
1ame","Condu
ctor","Group
Si]e",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
